1541641591 1 0 0 0
1541642090 2 0 0 0
1541671420 3 0 0 0
1541696780 4 0 0 0
1541700287 5 0 0 0
1541700689 6 0 0 0
1541706743 7 0 0 0
1541707773 8 0 0 0
1541708325 9 0 0 0
1541712967 10 0 0 0
1541718598 11 0 0 0
1541720075 12 0 0 0
1542135388 13 0 0 0
1542144594 14 0 0 0
1542145967 15 0 0 0
1542154964 16 0 0 0
1542248278 16 1 0 0
1542295638 17 1 0 0
1542309619 18 1 0 0
1542331635 19 1 0 0
1542333468 19 2 0 0
1542333540 20 2 0 0
1542493837 21 2 0 0
1542505174 21 2 1 0
1542505273 21 2 1 1
1542505813 21 3 1 1
1542505848 21 4 1 1
1542506051 21 4 2 1
1542510096 21 5 2 1
1542510178 21 5 3 1
1542510249 21 6 3 1
1542512145 21 7 3 1
1542518351 22 7 3 1
1542529114 23 7 3 1
1542530234 24 7 3 1
1542607997 25 7 3 1
1542609774 26 7 3 1
1542665552 27 7 3 1
1542921058 28 7 3 1
1543379823 29 7 3 1
1543387111 30 7 3 1
1543686798 31 7 3 1
1543691955 32 7 3 1
1543794269 32 8 3 1
